Waiting for serial port to connect: .....
Setting serial port parameters... Ok
Initiating communication... Ok
0x20000884	0x0000
0x20000888	0x0000
0x2000088c	0x0000
0x20000890	0x0000
0x20000894	0x0000
0x20000898	0x0000
0x2000089c	0x0000
0x200008a0	0x0000
0x200008a4	0x0000
0x200008a8	0x0000
0x200008ac	0x0000
0x200008b0	0x0000
0x200008b4	0x0000
0x200008b8	0x0000
0x200008bc	0x0000
0x200008c0	0x0000
0x200008c4	0x0000
0x200008c8	0x0000
0x200008cc	0x0000
0x200008d0	0x0000
0x200008d4	0x0000
0x200008d8	0x0000
0x200008dc	0x0000
0x200008e0	0x0000
0x200008e4	0x0000
0x200008e8	0x0000
0x200008ec	0x0000
0x200008f0	0x0000
0x200008f4	0x0000
0x200008f8	0x0000
0x200008fc	0x0000
0x20000900	0x0000
0x20000904	0x0000
0x20000908	0x0000
0x2000090c	0x0000
0x20000910	0x0000
0x20000914	0x0000
0x20000918	0x0000
0x2000091c	0x0000
0x20000920	0x0000
0x20000924	0x0000
0x20000928	0x0000
0x2000092c	0x0000
0x20000930	0x0000
0x20000934	0x0000
0x20000938	0x0000
0x2000093c	0x0000
0x20000940	0x0000
0x20000944	0x0000
0x20000948	0x0000
0x2000094c	0x0000
0x20000950	0x0000
0x20000954	0x0000
0x20000958	0x0000
0x2000095c	0x0000
0x20000960	0x0000
0x20000964	0x0000
0x20000968	0x0000
0x2000096c	0x0000
0x20000970	0x0000
0x20000974	0x0000
0x20000978	0x0000
0x2000097c	0x0000
0x20000980	0x0000
0x20000984	0x0000
0x20000988	0x0000
0x2000098c	0x0000
0x20000990	0x0000
0x20000994	0x0000
0x20000998	0x0000
0x2000099c	0x0000
0x200009a0	0x0000
0x200009a4	0x0000
0x200009a8	0x0000
0x200009ac	0x0000
0x200009b0	0x0000
0x200009b4	0x0000
0x200009b8	0x0000
0x200009bc	0x0000
0x200009c0	0x0000
0x200009c4	0x0000
0x200009c8	0x0000
0x200009cc	0x0000
0x200009d0	0x0000
0x200009d4	0x0000
0x200009d8	0x0000
0x200009dc	0x0000
0x200009e0	0x0000
0x200009e4	0x0000
0x200009e8	0x0000
0x200009ec	0x0000
0x200009f0	0x0000
